timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
01-11-2012,6.67,6.67,6.67,6.67,5.532999322,0,0,1
,,,,,,,,
31-10-2012,6.61,6.61,6.61,6.61,5.483227214,0,0,1
,,,,,,,,
26-10-2012,6.61,6.61,6.61,6.61,5.483227214,0,0,1
,,,,,,,,
25-10-2012,6.59,6.59,6.59,6.59,5.466636511,0,0,1
,,,,,,,,
24-10-2012,6.58,6.58,6.58,6.58,5.45834116,0,0,1
,,,,,,,,
23-10-2012,6.61,6.61,6.61,6.61,5.483227214,0,0,1
,,,,,,,,
22-10-2012,6.67,6.67,6.67,6.67,5.532999322,0,0,1
,,,,,,,,
19-10-2012,6.64,6.64,6.64,6.64,5.508113268,0,0,1
,,,,,,,,
18-10-2012,6.8,6.8,6.8,6.8,5.640838889,0,0,1
,,,,,,,,
17-10-2012,6.87,6.87,6.87,6.87,5.698906348,0,0,1
,,,,,,,,
16-10-2012,6.87,6.87,6.87,6.87,5.698906348,0,0,1
,,,,,,,,
15-10-2012,6.78,6.78,6.78,6.78,5.624248186,0,0,1
,,,,,,,,
12-10-2012,6.73,6.73,6.73,6.73,5.58277143,0,0,1
,,,,,,,,
11-10-2012,6.73,6.73,6.73,6.73,5.58277143,0,0,1
,,,,,,,,
10-10-2012,6.75,6.75,6.75,6.75,5.599362132,0,0,1
,,,,,,,,
09-10-2012,6.79,6.79,6.79,6.79,5.632543538,0,0,1
,,,,,,,,
08-10-2012,6.9,6.9,6.9,6.9,5.723792402,0,0,1
,,,,,,,,
05-10-2012,6.96,6.96,6.96,6.96,5.77356451,0,0,1
,,,,,,,,
04-10-2012,6.99,6.99,6.99,6.99,5.798450564,0,0,1
,,,,,,,,
03-10-2012,6.96,6.96,6.96,6.96,5.77356451,0,0,1
,,,,,,,,
02-10-2012,6.92,6.92,6.92,6.92,5.740383105,0,0,1
,,,,,,,,
01-10-2012,6.91,6.91,6.91,6.91,5.732087753,0,0,1
,,,,,,,,
28-09-2012,6.92,6.92,6.92,6.92,5.740383105,0,0.0005,1
,,,,,,,,
27-09-2012,6.97,6.97,6.97,6.97,5.781442127,0,0,1
,,,,,,,,
26-09-2012,6.87,6.87,6.87,6.87,5.698494607,0,0,1
,,,,,,,,
25-09-2012,6.93,6.93,6.93,6.93,5.748263119,0,0,1
,,,,,,,,
24-09-2012,7.02,7.02,7.02,7.02,5.822915887,0,0,1
,,,,,,,,
21-09-2012,7.06,7.06,7.06,7.06,5.856094895,0,0,1
,,,,,,,,
20-09-2012,7.06,7.06,7.06,7.06,5.856094895,0,0,1
,,,,,,,,
19-09-2012,7.07,7.07,7.07,7.07,5.864389647,0,0,1
,,,,,,,,
18-09-2012,7.05,7.05,7.05,7.05,5.847800143,0,0,1
,,,,,,,,
17-09-2012,7.06,7.06,7.06,7.06,5.856094895,0,0,1
,,,,,,,,
14-09-2012,7.06,7.06,7.06,7.06,5.856094895,0,0,1
,,,,,,,,
13-09-2012,7,7,7,7,5.806326383,0,0,1
,,,,,,,,
12-09-2012,6.9,6.9,6.9,6.9,5.723378863,0,0,1
,,,,,,,,
11-09-2012,6.89,6.89,6.89,6.89,5.715084111,0,0,1
,,,,,,,,
10-09-2012,6.89,6.89,6.89,6.89,5.715084111,0,0,1
,,,,,,,,
